variable code,variable name,long code (GHED data explorer),category 1,category 2,unit,currency,Method of measurement (INDICATORS category1),
location,Countries and territories name,-,-,-,-,-,-,
code,Countries and territories ISO3 code ,-,-,-,-,-,-,
region,Region (WHO),-,-,-,-,-,-,
income,Country income group 2021 (World Bank),-,-,-,-,-,-,
year,Year,-,-,-,-,-,-,
che_gdp,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),CHE%GDP_SHA2011,INDICATORS,AGGREGATES,Percentage,-,Current Health Expenditure (CHE) / Gross Domestic Product (GDP),
che_pc_usd,Current Health Expenditure (CHE) per Capita in US$,CHE_pc_US$_SHA2011,INDICATORS,AGGREGATES,Ones,US$,Current Health Expenditure (CHE) / Population / Exchange rate (NCU to USD),
che,"Current Health Expenditure (CHE), in million current NCU",CHE,INDICATORS,AGGREGATES,Millions,NCU,Government schemes and compulsory contributory health care financing schemes (HF.1) + Voluntary health care payment schemes (HF.2) + Household out-of-pocket payment (HF.3) + Rest of the world financing schemes (non-resident) (HF.4) + Unspecified financing schemes (n.e.c.) (HF.nec),
gghed,"Domestic General Government Health Expenditure (GGHE-D), in million current NCU",GGHE-D,INDICATORS,AGGREGATES,Millions,NCU,Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3),
pvtd,"Domestic Private Health Expenditure (PVT-D), in million current NCU",PVT-D,INDICATORS,AGGREGATES,Millions,NCU,"Compulsory prepayment (Other, and unspecified, than social insurance contributions) (FS.4) + Voluntary prepayment (FS.5) + Other domestic revenues n.e.c. (FS.6) + Unspecified revenues of health care financing schemes n.e.c. (FS.nec)",
ext,"External Health Expenditure (EXT), in million current NCU",EXT,INDICATORS,AGGREGATES,Millions,NCU,Transfers distributed by government from foreign origin (FS.2) + Direct foreign transfers (FS.7),
dom_che,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),DOM%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,"(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3) + Compulsory prepayment (Other, and unspecified, than social insurance contributions) (FS.4) + Voluntary prepayment (FS.5) + Other domestic revenues n.e.c. (FS.6) + Unspecified revenues of health care financing schemes n.e.c. (FS.nec)) / Current Health Expenditure (CHE)",
gghed_che,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),GGHE-D%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3)) / Current Health Expenditure (CHE),
pvtd_che,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),PVT-D%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,"(Compulsory prepayment (Other, and unspecified, than social insurance contributions) (FS.4) + Voluntary prepayment (FS.5) + Other domestic revenues n.e.c. (FS.6) + Unspecified revenues of health care financing schemes n.e.c. (FS.nec)) / Current Health Expenditure (CHE)",
oops_che,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),OOPS%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,Household out-of-pocket payment (HF.3) / Current Health Expenditure (CHE),
vpp_che,Voluntary Prepayments as % of Current Health Expenditure (CHE),VPP%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,Voluntary prepayment (FS.5) / Current Health Expenditure (CHE),
ext_che,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),EXT%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Transfers distributed by government from foreign origin (FS.2) + Direct foreign transfers (FS.7)) / Current Health Expenditure (CHE),
gghed_gdp,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),GGHE-D%GDP_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3)) / Gross Domestic Product (GDP),
gghed_gge,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),GGHE-D%GGE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3)) / General Government Expenditure (GGE),
gghed_pc_usd,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,GGHE-D_pc_US$_SHA2011,INDICATORS,FINANCING SOURCES,Ones,US$,(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3)) / Population / Exchange rate (NCU to USD),
pvtd_pc_usd,Domestic Private Health Expenditure (PVT-D) per Capita in US$,PVT-D_pc_US$_SHA2011,INDICATORS,FINANCING SOURCES,Ones,US$,"(Compulsory prepayment (Other, and unspecified, than social insurance contributions) (FS.4) + Voluntary prepayment (FS.5) + Other domestic revenues n.e.c. (FS.6) + Unspecified revenues of health care financing schemes n.e.c. (FS.nec)) / Population / Exchange rate (NCU to USD)",
oop_pc_usd,Out-of-Pocket Expenditure (OOPS) per Capita in US$,OOP_pc_US$_SHA2011,INDICATORS,FINANCING SOURCES,Ones,US$,Household out-of-pocket payment (HF.3) / Population / Exchange rate (NCU to USD),
ext_pc_usd,External Health Expenditure (EXT) per Capita in US$,EXT_pc_US$_SHA2011,INDICATORS,FINANCING SOURCES,Ones,US$,(Transfers distributed by government from foreign origin (FS.2) + Direct foreign transfers (FS.7)) / Population / Exchange rate (NCU to USD),
tran_shi,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),TRAN%SHI_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Social health insurance schemes (HF.1.2.1) - Social insurance contributions (FS.3)) / Social health insurance schemes (HF.1.2.1),
shise_shi,Self-Employed Contributions to Social Health Insurance (SHI-SE) as % of Social Health Insurance (SHI),SHI-SE%SHI_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,Social insurance contributions from self-employed (FS.3.3) / Social health insurance schemes (HF.1.2.1),
cfa_che,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),CFA%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Government schemes and compulsory contributory health care financing schemes (HF.1) / Current Health Expenditure (CHE),
gfa_che,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),GFA%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Government schemes (HF.1.1) / Current Health Expenditure (CHE),
