Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,
Angola,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,99,99,99,98,97,94,97,98,96,97,97,98,97,97,97,96,97,96,96,95,95,95,93,
Benin,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,89,86,89,88,82,81,85,76,75,70,68,71,75,75,80,74,72,74,75,76,72,71,62,
Botswana,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),84,86,87,87,89,89,89,85,87,93,95,95,95,91,92,93,94,90,91,90,94,95,94,93,
Burkina Faso,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),84,86,84,77,78,71,69,61,66,70,59,67,62,70,76,75,77,82,86,84,83,84,82,79,
Burundi,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,78,81,78,74,68,69,70,65,60,47,62,56,41,72,72,62,60,57,49,43,53,47,43,
Cabo Verde,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,97,97,98,96,95,91,95,94,97,94,95,87,85,85,96,95,97,97,97,94,97,88,89,
Cameroon,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,98,97,98,97,95,95,95,94,94,92,88,92,93,91,91,91,92,86,87,89,85,86,85,
Central African Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),89,93,85,87,90,77,81,78,80,65,77,71,75,67,63,59,67,69,49,72,64,64,63,60,
Chad,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),96,96,97,83,90,90,89,94,94,92,94,87,89,92,89,83,77,80,81,81,84,89,81,78,
Comoros,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),94,92,93,89,88,91,94,96,96,96,92,86,85,83,79,89,87,80,87,82,88,74,57,73,
Congo,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),88,91,88,89,80,79,83,82,89,81,88,79,74,80,82,81,95,93,95,93,89,93,86,85,
C™te d'Ivoire,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),98,98,98,95,97,96,96,91,87,90,90,88,84,91,87,87,85,87,88,87,86,87,90,88,
Democratic Republic of the Congo,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),77,87,86,81,83,81,80,76,62,59,55,55,62,60,60,61,57,58,65,61,63,62,61,63,
Equatorial Guinea,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),96,85,96,97,97,97,95,94,96,95,96,96,98,99,100,99,99,99,99,99,99,98,98,99,
Eritrea,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,86,78,62,57,48,47,67,58,65,70,51,74,64,64,59,79,71,65,62,68,71,78,72,
Eswatini,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),96,89,84,82,79,81,74,77,76,77,74,68,69,70,63,67,67,76,72,77,79,78,72,72,
Ethiopia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),84,83,87,86,70,78,68,67,53,66,66,62,72,77,77,82,80,65,64,66,66,72,75,73,
Gabon,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),98,99,98,98,98,96,98,97,98,98,99,99,100,100,99,99,99,99,99,99,89,96,96,96,
Gambia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),22,23,25,27,29,31,34,34,37,43,46,48,53,54,72,65,73,63,61,73,76,65,76,83,
Ghana,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,92,79,85,77,80,83,86,88,86,86,88,91,83,84,75,87,85,92,91,82,85,84,91,
Guinea,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),72,71,72,72,75,77,78,80,80,81,81,74,78,77,82,77,73,91,89,89,88,77,79,82,
