Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,Internal transfers and grants,Million NCU,"66,051","81,873","83,241","95,906","102,685","109,738","123,058","161,159","215,080","239,844","264,395","353,723","488,923","456,756","512,250","493,436","469,913","487,991","525,356","395,174","361,644","377,502","438,000","642,113",
Angola,Internal transfers and grants,Million NCU,"1,246","4,933","8,707","19,477","33,186","41,206","60,794","86,208","142,064","145,036","128,933","179,904","191,117","223,677","188,811","172,180","198,187","261,762","282,907","346,435","561,819","808,102","857,526","852,683",
Benin,Internal transfers and grants,Million NCU,"28,354","32,239","27,268","32,644","37,665","36,286","39,066","37,333","32,413","37,994","33,998","31,159","40,660","45,200","35,384","36,500","46,946","49,483","49,842","35,718","42,210","28,380","50,230","53,300",
Botswana,Internal transfers and grants,Million NCU,914,"1,084","1,245","1,290","1,378","1,398","1,564","1,968","2,599","2,371","3,022","3,672","4,322","4,972","5,531","5,657","6,299","8,345","7,197","7,853","7,680","10,037","10,827","12,459",
Burkina Faso,Internal transfers and grants,Million NCU,"20,145","22,568","26,427","26,786","48,688","39,432","48,650","51,852","56,744","72,264","64,679","76,318","67,908","106,862","111,826","100,994","180,616","219,963","187,606","210,588","291,377","298,420","319,899","314,903",
Burundi,Internal transfers and grants,Million NCU,"6,802","9,465","8,940","6,726","17,511","18,736","23,588","27,321","15,062","29,892","33,412","77,767","62,100","54,960","71,872","87,482","90,760","91,935","93,109","105,718","114,944","132,686","100,485","116,117",
Cabo Verde,Internal transfers and grants,Million NCU,"1,436","1,705","1,830","1,920","1,875","1,882","2,091","2,437","2,086","2,547","2,672","2,773","3,060","3,182","3,306","3,608","3,837","3,923","4,633","5,296","6,096","6,455","7,606","6,461",
Cameroon,Internal transfers and grants,Million NCU,"48,412","62,597","76,816","79,430","70,044","67,078","70,800","65,159","68,074","58,853","55,307","82,705","98,547","80,025","105,959","69,286","73,327","29,598","77,131","93,857","141,864","121,310","184,096","199,186",
Central African Republic,Internal transfers and grants,Million NCU,"10,596","9,999","9,824","10,655","10,202","7,717","9,865","10,691","7,709","7,117","6,114","4,770","7,979","8,222","6,653","4,570","6,484","8,770","8,715","10,932","16,769","18,109","22,894","24,154",
Chad,Internal transfers and grants,Million NCU,"23,162","26,171","32,864","31,265","50,622","50,308","38,744","42,522","37,001","40,616","45,071","47,372","59,951","73,717","84,296","62,280","49,735","40,757","39,854","44,845","47,418","68,905","101,224","137,985",
Comoros,Internal transfers and grants,Million NCU,"1,608","1,088","2,120","2,021","1,942","1,791","1,733","1,608","1,316","1,200","1,259","3,448","3,079","2,709","2,340","1,970","2,519","3,067","3,616","4,164","6,617","4,819","4,807","4,923",
Congo,Internal transfers and grants,Million NCU,"13,281","21,492","10,026","11,230","11,711","15,152","23,402","24,655","57,117","28,247","53,893","48,053","73,976","83,079","83,754","78,650","72,526","62,351","50,899","84,286","114,495","127,635","70,000","96,324",
C™te d'Ivoire,Internal transfers and grants,Million NCU,"59,325","55,354","61,672","60,434","64,591","62,695","68,238","87,806","97,750","128,376","138,425","92,892","136,260","149,551","182,227","212,109","241,393","279,305","286,905","313,341","420,888","557,000","572,492","598,770",
